timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/18 07:40:57.115, 74249, 97887, 100
2026/06/18 07:40:58.116, 74249, 97887, 97
2026/06/18 07:40:59.116, 74249, 97887, 100
2026/06/18 07:41:00.117, 74249, 97887, 100
2026/06/18 07:41:01.117, 74249, 97887, 97
2026/06/18 07:41:02.118, 74249, 97887, 100
2026/06/18 07:41:03.118, 74249, 97887, 100
2026/06/18 07:41:04.119, 74249, 97887, 89
2026/06/18 07:41:05.119, 74249, 97887, 100
2026/06/18 07:41:06.120, 74249, 97887, 100
2026/06/18 07:41:07.121, 74249, 97887, 91
2026/06/18 07:41:08.121, 74249, 97887, 100
2026/06/18 07:41:09.122, 74249, 97887, 100
2026/06/18 07:41:10.122, 74249, 97887, 92
2026/06/18 07:41:11.122, 74249, 97887, 100
2026/06/18 07:41:12.123, 74249, 97887, 100
2026/06/18 07:41:13.123, 74249, 97887, 100
2026/06/18 07:41:14.124, 74249, 97887, 100
2026/06/18 07:41:15.125, 74249, 97887, 100
2026/06/18 07:41:16.125, 74249, 97887, 100
2026/06/18 07:41:17.125, 74249, 97887, 100
2026/06/18 07:41:18.126, 74249, 97887, 100
2026/06/18 07:41:19.126, 74249, 97887, 100
2026/06/18 07:41:20.127, 74249, 97887, 97
2026/06/18 07:41:21.127, 74249, 97887, 100
2026/06/18 07:41:22.128, 74249, 97887, 100
2026/06/18 07:41:23.128, 74249, 97887, 97
2026/06/18 07:41:24.129, 74249, 97887, 100
2026/06/18 07:41:25.129, 74249, 97887, 100
2026/06/18 07:41:26.130, 74249, 97887, 87
2026/06/18 07:41:27.130, 74249, 97887, 100
2026/06/18 07:41:28.130, 74249, 97887, 100
2026/06/18 07:41:29.131, 74249, 97887, 91
2026/06/18 07:41:30.131, 74249, 97887, 100
2026/06/18 07:41:31.132, 74249, 97887, 100
2026/06/18 07:41:32.132, 74249, 97887, 100
2026/06/18 07:41:33.133, 74249, 97887, 100
2026/06/18 07:41:34.133, 74249, 97887, 100
2026/06/18 07:41:35.134, 74249, 97887, 100
2026/06/18 07:41:36.134, 74249, 97887, 100
2026/06/18 07:41:37.135, 74249, 97887, 100
2026/06/18 07:41:38.135, 74249, 97887, 100
2026/06/18 07:41:39.136, 74249, 97887, 97
2026/06/18 07:41:40.136, 74249, 97887, 100
2026/06/18 07:41:41.136, 74249, 97887, 100
2026/06/18 07:41:42.137, 74249, 97887, 89
2026/06/18 07:41:43.137, 74249, 97887, 100
2026/06/18 07:41:44.138, 74249, 97887, 100
2026/06/18 07:41:45.138, 74249, 97887, 89
2026/06/18 07:41:46.139, 74249, 97887, 100
2026/06/18 07:41:47.139, 74249, 97887, 100
2026/06/18 07:41:48.140, 74249, 97887, 92
2026/06/18 07:41:49.140, 74249, 97887, 100
2026/06/18 07:41:50.141, 74249, 97887, 100
2026/06/18 07:41:51.141, 74249, 97887, 100
2026/06/18 07:41:52.142, 74249, 97887, 100
2026/06/18 07:41:53.142, 74249, 97887, 100
2026/06/18 07:41:54.142, 74249, 97887, 100
2026/06/18 07:41:55.143, 74249, 97887, 100
2026/06/18 07:41:56.143, 74249, 97887, 100
2026/06/18 07:41:57.144, 74249, 97887, 100
2026/06/18 07:41:58.144, 74249, 97887, 97
2026/06/18 07:41:59.145, 74249, 97887, 100
2026/06/18 07:42:00.145, 74249, 97887, 100
2026/06/18 07:42:01.146, 74249, 97887, 97
2026/06/18 07:42:02.146, 74249, 97887, 97
2026/06/18 07:42:03.147, 74249, 97887, 100
2026/06/18 07:42:04.147, 74249, 97887, 100
2026/06/18 07:42:05.148, 74249, 97887, 100
2026/06/18 07:42:06.148, 74249, 97887, 100
2026/06/18 07:42:07.149, 74249, 97887, 100
2026/06/18 07:42:08.150, 74249, 97887, 100
2026/06/18 07:42:09.150, 74249, 97887, 0
2026/06/18 07:42:10.151, 74249, 97887, 0
2026/06/18 07:42:11.151, 74249, 97887, 0
2026/06/18 07:42:12.152, 74249, 97887, 100
2026/06/18 07:42:13.152, 74249, 97887, 94
2026/06/18 07:42:14.153, 74249, 97887, 67
2026/06/18 07:42:15.153, 74249, 97887, 100
2026/06/18 07:42:16.154, 74249, 97887, 94
2026/06/18 07:42:17.154, 74249, 97887, 68
2026/06/18 07:42:18.154, 74249, 97887, 100
2026/06/18 07:42:19.155, 74249, 97887, 95
2026/06/18 07:42:20.155, 74249, 97887, 69
2026/06/18 07:42:21.156, 74249, 97887, 100
2026/06/18 07:42:22.156, 74249, 97887, 100
2026/06/18 07:42:23.157, 74249, 97887, 69
2026/06/18 07:42:24.157, 74249, 97887, 100
2026/06/18 07:42:25.158, 74249, 97887, 100
2026/06/18 07:42:26.158, 74249, 97887, 69
2026/06/18 07:42:27.158, 74249, 97887, 100
2026/06/18 07:42:28.159, 74249, 97887, 100
2026/06/18 07:42:29.159, 74249, 97887, 70
2026/06/18 07:42:30.160, 74249, 97887, 100
2026/06/18 07:42:31.160, 74249, 97887, 100
2026/06/18 07:42:32.161, 74249, 97887, 67
2026/06/18 07:42:33.161, 74249, 97887, 100
2026/06/18 07:42:34.161, 74249, 97887, 100
2026/06/18 07:42:35.162, 74249, 97887, 68
2026/06/18 07:42:36.162, 74249, 97887, 99
2026/06/18 07:42:37.163, 74249, 97887, 100
2026/06/18 07:42:38.163, 74249, 97887, 87
2026/06/18 07:42:39.164, 74249, 97887, 69
2026/06/18 07:42:40.164, 74249, 97887, 100
2026/06/18 07:42:41.165, 74249, 97887, 70
2026/06/18 07:42:42.165, 74249, 97887, 99
2026/06/18 07:42:43.166, 74249, 97887, 100
2026/06/18 07:42:44.167, 74249, 97887, 68
2026/06/18 07:42:45.167, 74249, 97887, 100
2026/06/18 07:42:46.168, 74249, 97887, 100
2026/06/18 07:42:47.168, 74249, 97887, 68
2026/06/18 07:42:48.169, 74249, 97887, 100
2026/06/18 07:42:49.169, 74249, 97887, 100
2026/06/18 07:42:50.170, 74249, 97887, 68
2026/06/18 07:42:51.170, 74249, 97887, 100
2026/06/18 07:42:52.171, 74249, 97887, 94
2026/06/18 07:42:53.171, 74249, 97887, 68
2026/06/18 07:42:54.172, 74249, 97887, 100
2026/06/18 07:42:55.172, 74249, 97887, 93
2026/06/18 07:42:56.173, 74249, 97887, 68
2026/06/18 07:42:57.173, 74249, 97887, 100
2026/06/18 07:42:58.174, 74249, 97887, 100
2026/06/18 07:42:59.174, 74249, 97887, 68
2026/06/18 07:43:00.175, 74249, 97887, 100
2026/06/18 07:43:01.175, 74249, 97887, 100
2026/06/18 07:43:02.176, 74249, 97887, 69
2026/06/18 07:43:03.176, 74249, 97887, 100
2026/06/18 07:43:04.177, 74249, 97887, 100
2026/06/18 07:43:05.177, 74249, 97887, 68
2026/06/18 07:43:06.178, 74249, 97887, 100
2026/06/18 07:43:07.178, 74249, 97887, 94
2026/06/18 07:43:08.179, 74249, 97887, 68
2026/06/18 07:43:09.179, 74249, 97887, 100
